PDB,PDB Keywords,Length,Sec. Structure
1bh4,"CYCLIC PEPTIDE, CYSTINE KNOT, ANTI-HIV ACTIVITY                       ",30,Alpha helical
1df6,"CYCLIC CYSTINE KNOT, BACKBONE CYCLIC, 3-10 HELIX, DOUBLE-STRANDED, ANTI- PARALLEL BETA-SHEET, HAIRPIN BENDS, LOOPS, PLANT PROTEIN       ",30,Mixed
1hvz,"CYCLIC, BETA-SHEET, DISULFIDE-RICH, ANTIMICROBIAL PROTEIN             ",18,Beta sheet
1jbl,"CYCLIC BACKBONE, 2 BETA STRANDS, 1 DISULFIDE BOND, SFTI-1, PROTEIN, BINDING                                                    `        ",14,Beta sheet
1qvk,"CYCLIC PEPTIDE, ANTIMICROBIAL PEPTIDE, ANTIMICROBIAL PROTEIN          ",6,None
1qvl,ANTIMICROBIAL PROTEIN,6,None
1r1f,"PALICOUREIN, CYCLOTIDE, PLANT PROTEIN                                 ",37,Mixed
1ski,"CYCLIC PEPTIDE; ANTIMICROBIAL PEPTIDE, ANTIMICROBIAL PROTEIN          ",6,None
1skk,"CYCLIC PEPTIDE; ANTIMICROBIAL PEPTIDE, ANTIMICROBIAL PROTEIN          ",6,None
1vb8,"CYCLOTIDE, CYSTINE KNOT, CIRCULAR, VIOLA, CCK, PLANT PROTEIN          ",30,Mixed
1za8,"CIRCULAR PROTEIN, CYCLIC CYSTINE KNOT MOTIF, ANTIVIRAL PROTEIN        ",31,Beta sheet
1znu,"CYCLOTIDE, CYCLIC PEPTIDE, KNOTTIN, CYSTINE KNOT, ANTIMICROBIAL, PEPTIDE, PLANT PROTEIN, ANTIBIOTIC                                   ",29,Beta sheet
2atg,"BETA-SHEET, CIRCULAR PEPTIDE, LADDERED DISULFIDE CONNECTIVITY, ANTIVIRAL PROTEIN                                                    ",18,Beta sheet
2b38,"CYCLIC BACKBONE, CYSTINE KNOT, BETA-HAIRPIN, PLANT PROTEIN            ",31,Beta sheet
2eri,"CYSTINE KNOT, BETA HAIRPIN, BETA TURN, ANTIBIOTIC                     ",31,Beta sheet
2gj0,"CYCLOTIDE, PLANT PROTEIN                                              ",31,Mixed
2k7g,"CYCLOTIDE, CYSTINE KNOT, KNOTTIN, PLANT DEFENSE, PLANT PROTEIN        ",29,Mixed
2kch,"CYCLIC CYSTINE KNOT, CYTOLYSIS, HEMOLYSIS, KNOTTIN, OXIDATION, PLANT, DEFENSE, PLANT PROTEIN                                               ",29,Mixed
2knm,"CYCLOTIDE, CYCLIC CYSTINE KNOT, CIRCULAR PROTEIN, CYTOLYSIS, DISULFIDE BOND, HEMOLYSIS, KNOTTIN, PLANT DEFENSE, PLANT PROTEIN     ",30,Mixed
2kuk,"BETA STRANDS, BETA TURN, DISULFIDE BOND, KNOTTIN, PLANT DEFENSE, ANTIVIRAL PROTEIN                                                    ",30,Beta sheet
2kux,"CYCLOTIDE, PLANT DEFENSE PEPTIDE, CIRCULAR BACKBONE, DISULFIDE BOND, KNOTTIN, PLANT DEFENSE, PLANT PROTEIN                                ",30,Mixed
2kvx,"KALATA, PLANT PROTEIN                                                 ",28,Beta sheet
2lam,"INSECTICIDAL PEPTIDE, ANTIVIRAL PROTEIN                               ",29,Beta sheet
2ll5,"TRP-CAGE, MINIPROTEIN, CYCLIC PEPTIDE, UNKNOWN FUNCTION, DE NOVO, PROTEIN                                                              ",22,Alpha helical
2lur,"BETA HAIRPIN, PLANT PROTEIN                                           ",29,Beta sheet
